store_id,product_id,sale_date,quantity,unit_price,discount,category,brand,cost_price,location,region,gross_amount,net_amount,profit
9,133,2025-10-12,3,219.95,141.63,furniture,BrandD,1932.18,New Ericmouth,west,659.85,518.22,-5278.32
3,114,2025-09-21,3,5007.68,438.38,toys,BrandB,3433.39,Lake Tammychester,east,15023.04,14584.66,4284.49
3,110,2025-08-21,8,5898.02,204.32,toys,BrandA,2393.44,Lake Tammychester,east,47184.16,46979.84,27832.32
8,143,2025-10-05,6,914.68,94.51,clothing,BrandE,4053.2,North Kristopherborough,south,5488.08,5393.57,-18925.63
9,131,2025-09-03,4,4968.49,354.57,groceries,BrandC,2587.55,New Ericmouth,west,19873.96,19519.39,9169.19
3,115,2025-08-19,1,2327.6,394.71,groceries,BrandB,661.3,Lake Tammychester,east,2327.6,1932.89,1271.59
5,107,2025-10-04,5,3837.24,288.99,electronics,BrandC,3022.4,Lake David,north,19186.2,18897.21,3785.21
9,123,2025-09-18,7,3921.41,58.91,groceries,BrandB,3638.25,New Ericmouth,west,27449.87,27390.96,1923.21
10,136,2025-10-24,4,3556.59,3.6,furniture,BrandB,4619.93,New Melanie,south,14226.36,14222.76,-4256.96
7,124,2025-09-11,8,1664.1,327.27,electronics,BrandA,3626.44,Lake David,south,13312.8,12985.53,-16025.99
4,108,2025-09-28,5,4904.57,343.88,toys,BrandB,1985.36,Saraville,north,24522.85,24178.97,14252.17
9,149,2025-10-09,6,277.53,157.95,clothing,BrandB,4098.51,New Ericmouth,west,1665.18,1507.23,-23083.83
4,118,2025-08-15,5,527.16,181.13,furniture,BrandC,3866.13,Saraville,north,2635.8,2454.67,-16875.98
5,137,2025-10-17,10,5429.6,77.39,electronics,BrandC,4600.62,Lake David,north,54296,54218.61,8212.41
7,115,2025-10-11,10,2744.07,325.79,groceries,BrandB,661.3,Lake David,south,27440.7,27114.91,20501.91
6,128,2025-09-24,1,903.43,126.82,groceries,BrandA,621.41,South Donna,north,903.43,776.61,155.2
8,136,2025-10-29,5,5444.71,427.49,furniture,BrandB,4619.93,North Kristopherborough,south,27223.55,26796.06,3696.41
9,150,2025-10-09,6,5001.73,211.78,electronics,BrandE,4892.12,New Ericmouth,west,30010.38,29798.6,445.88
8,140,2025-11-06,4,2089.57,182.82,toys,BrandE,648.15,North Kristopherborough,south,8358.28,8175.46,5582.86
2,140,2025-10-18,1,399.77,137.78,toys,BrandE,648.15,Brandonfurt,south,399.77,261.99,-386.16
4,144,2025-10-29,2,2846.82,340.3,electronics,BrandD,1273.32,Saraville,north,5693.64,5353.34,2806.7
4,142,2025-11-01,8,1132.74,377.49,toys,BrandC,4928.07,Saraville,north,9061.92,8684.43,-30740.13
2,136,2025-09-10,5,3507.22,206.61,furniture,BrandB,4619.93,Brandonfurt,south,17536.1,17329.49,-5770.16
6,102,2025-08-18,3,4956.86,391.89,electronics,BrandC,3803.33,South Donna,north,14870.58,14478.69,3068.7
1,139,2025-10-25,7,2460.74,241.23,groceries,BrandB,2494.17,Thomasberg,south,17225.18,16983.95,-475.24
10,143,2025-09-02,9,322.47,185.11,clothing,BrandE,4053.2,New Melanie,south,2902.23,2717.12,-33761.68
9,145,2025-09-17,5,4146.8,277.46,electronics,BrandE,1280.27,New Ericmouth,west,20734,20456.54,14055.19
4,118,2025-10-09,2,1160.92,126.89,furniture,BrandC,3866.13,Saraville,north,2321.84,2194.95,-5537.31
10,102,2025-09-05,5,1406.09,153.33,electronics,BrandC,3803.33,New Melanie,south,7030.45,6877.12,-12139.53
4,112,2025-08-30,6,1244.83,172.18,clothing,BrandB,2810.81,Saraville,north,7468.98,7296.8,-9568.06
1,118,2025-08-12,10,1787.15,352.75,furniture,BrandC,3866.13,Thomasberg,south,17871.5,17518.75,-21142.55
2,145,2025-10-26,4,5318.03,367.89,electronics,BrandE,1280.27,Brandonfurt,south,21272.12,20904.23,15783.15
1,149,2025-11-03,4,352.7,427.5,clothing,BrandB,4098.51,Thomasberg,south,1410.8,983.3,-15410.74
4,120,2025-08-25,3,3772.18,329.64,groceries,BrandB,1538.15,Saraville,north,11316.54,10986.9,6372.45
2,122,2025-09-19,8,1587.84,373.91,clothing,BrandA,115.9,Brandonfurt,south,12702.72,12328.81,11401.61
1,123,2025-08-24,3,1876.37,223.3,groceries,BrandB,3638.25,Thomasberg,south,5629.11,5405.81,-5508.94
6,101,2025-11-07,8,2560.15,349.66,electronics,BrandD,2518.23,South Donna,north,20481.2,20131.54,-14.3
2,112,2025-10-24,10,3371.53,80.9,clothing,BrandB,2810.81,Brandonfurt,south,33715.3,33634.4,5526.3
9,110,2025-09-20,6,506.73,107.23,toys,BrandA,2393.44,New Ericmouth,west,3040.38,2933.15,-11427.49
4,137,2025-09-28,7,1786.69,200.28,electronics,BrandC,4600.62,Saraville,north,12506.83,12306.55,-19897.79
5,143,2025-11-03,9,952.83,169.22,clothing,BrandE,4053.2,Lake David,north,8575.47,8406.25,-28072.55
8,126,2025-10-07,8,1316.83,275.29,furniture,BrandD,3833.61,North Kristopherborough,south,10534.64,10259.35,-20409.53
4,105,2025-09-26,9,5325.22,348.53,toys,BrandB,883.91,Saraville,north,47926.98,47578.45,39623.26
9,110,2025-09-11,4,3226.01,353.39,toys,BrandA,2393.44,New Ericmouth,west,12904.04,12550.65,2976.89
3,148,2025-08-21,4,3839.91,80.37,electronics,BrandB,3686.35,Lake Tammychester,east,15359.64,15279.27,533.87
10,141,2025-08-18,10,4842.68,482.29,groceries,BrandE,1878.61,New Melanie,south,48426.8,47944.51,29158.41
